time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	47.9047	4.67224	14.191	2.10116e+14	2.48406e+13	lidar	0	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	50.8108	10.3693	-1.7311	2.10116e+14	2.48406e+13	radar	0	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.8108	10.3693	-1.7311	2.34957e+14	2.48406e+13	lidar	0	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	53.0426	9.87262	-6.58093	2.34957e+14	2.48399e+13	radar	0	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.0426	9.87262	-6.58093	2.59797e+14	2.48399e+13	lidar	0	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.3724	11.4693	-4.05049	2.59797e+14	2.48384e+13	radar	0	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	53.3724	11.4693	-4.05049	2.84635e+14	2.48384e+13	lidar	0	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	55.8992	12.7587	-7.36178	2.84635e+14	2.48376e+13	radar	0	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	55.8992	12.7587	-7.36178	3.09473e+14	2.48376e+13	lidar	0	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	57.8038	8.5068	3.01536	3.09473e+14	2.4836e+13	radar	0	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	57.8038	8.5068	3.01536	3.34309e+14	2.4836e+13	lidar	0	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	61.3859	8.65695	-0.00497398	3.34309e+14	2.48355e+13	radar	0	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	61.3859	8.65695	-0.00497398	3.59145e+14	2.48355e+13	lidar	0	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.7409	8.36094	-3.44275	3.59145e+14	2.48349e+13	radar	0	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	63.7409	8.36094	-3.44275	3.83979e+14	2.48349e+13	lidar	0	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	68.6016	8.62111	-12.8589	3.83979e+14	2.48343e+13	radar	0	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.6016	8.62111	-12.8589	4.08814e+14	2.48343e+13	lidar	0	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	67.8967	16.9137	1.52293	4.08814e+14	2.4834e+13	radar	0	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	67.8967	16.9137	1.52293	4.33648e+14	2.4834e+13	lidar	0	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	71.7043	19.5912	-6.71428	4.33648e+14	2.48338e+13	radar	0	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	71.7043	19.5912	-6.71428	4.58482e+14	2.48338e+13	lidar	0	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.6464	22.6884	-3.54122	4.58482e+14	2.48337e+13	radar	0	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
